Date,Users,Pageviews
2019-11-29,420532,673158
2019-11-30,511625,732595
2019-12-01,443418,646165
2019-12-02,618411,937384
2019-12-03,460751,732592
2019-12-04,573621,864708
2019-12-05,402678,660048
2019-12-06,817310,1205439
2019-12-07,411101,634517
2019-12-08,719062,986457
2019-12-09,508453,827644
2019-12-10,451872,738687
2019-12-11,444515,724703
2019-12-12,451021,723620
2019-12-13,441819,716131
2019-12-14,437371,656310
2019-12-15,407808,611735
2019-12-16,511819,833090
2019-12-17,620093,986116
2019-12-18,535691,830946
2019-12-19,617145,941799
2019-12-20,660876,997435
2019-12-21,489314,734713
2019-12-22,408154,616955
2019-12-23,506437,811872
2019-12-24,471024,740323
2019-12-25,724965,1000453
2019-12-26,682628,987302
2019-12-27,642243,932295
2019-12-28,558888,807006
2019-12-29,454271,655943
2019-12-30,491061,754702
2019-12-31,496038,745054
2020-01-01,457972,685032
2020-01-02,583644,885616
2020-01-03,661617,978654
2020-01-04,587119,853905
2020-01-05,563180,818557
2020-01-06,653770,1001884
2020-01-07,634689,965724
2020-01-08,617366,991716
2020-01-09,624768,969454
2020-01-10,565505,853915
2020-01-11,570410,820502
2020-01-12,607617,853719
2020-01-13,721656,1059476
2020-01-14,447712,706578
2020-01-15,400461,618176
2020-01-16,361692,607966
2020-01-17,353005,585275
2020-01-18,378667,585772
2020-01-19,404657,612424
2020-01-20,442802,719383
2020-01-21,434236,714518
2020-01-22,413377,685694
2020-01-23,385872,636510
2020-01-24,396655,634671
2020-01-25,419214,636313
2020-01-26,402560,600699
2020-01-27,459758,746798
2020-01-28,453313,725411
2020-01-29,468616,736612
2020-01-30,518590,814482
2020-01-31,520493,799433
2020-02-01,586155,904953
2020-02-02,455418,685292
2020-02-03,479025,771883
2020-02-04,455771,729902
2020-02-05,622538,914024
2020-02-06,470098,731950
